marca,clase,combustible,cantidad
CHEVROLET,Automóvil,Gasolina,125139
CHEVROLET,Camioneta,Gasolina,71607
CHEVROLET,Jeep,Gasolina,54927
MAZDA,Camioneta,Gasolina,43323
TOYOTA,Camioneta,Gasolina,42165
HYUNDAI,Automóvil,Gasolina,26530
VOLKSWAGEN,Automóvil,Gasolina,25291
NISSAN,Camioneta,Gasolina,23717
SUZUKI,Motocicleta,Gasolina,20522
FORD,Camioneta,Gasolina,20370
SUZUKI,Automóvil,Gasolina,20368
TOYOTA,Automóvil,Gasolina,19505
CHEVROLET,Furgoneta P,Gasolina,16662
NISSAN,Automóvil,Gasolina,16338
MAZDA,Automóvil,Gasolina,15036
HINO,Camión,Diesel,12221
FIAT,Automóvil,Gasolina,12074
CHEVROLET,Camión,Diesel,11395
RENAULT,Automóvil,Gasolina,11258
CHEVROLET,Camioneta,Diesel,10592
TOYOTA,Jeep,Gasolina,10167
HYUNDAI,Jeep,Gasolina,9645
DAEWOO,Automóvil,Gasolina,8606
KIA,Automóvil,Gasolina,8161
FORD,Jeep,Gasolina,7729
MITSUBISHI,Jeep,Gasolina,7173
SHINERAY,Motocicleta,Gasolina,7148
PEUGEOT,Automóvil,Gasolina,6991
YAMAHA,Motocicleta,Gasolina,6868
FORD,Automóvil,Gasolina,6193
MITSUBISHI,Camión,Diesel,5743
DATSUN,Camioneta,Gasolina,5721
LADA,Automóvil,Gasolina,5690
MOTOR UNO,Motocicleta,Gasolina,5451
SKODA,Automóvil,Gasolina,5439
Otras Marcas,Motocicleta,Gasolina,5377
MITSUBISHI,Camioneta,Gasolina,5106
TRAXX,Motocicleta,Gasolina,4440
KIA,Jeep,Gasolina,4275
MITSUBISHI,Automóvil,Gasolina,4266
SUZUKI,Jeep,Gasolina,4133
NISSAN,Jeep,Gasolina,4068
HONDA,Motocicleta,Gasolina,3962
HYUNDAI,Furgoneta P,Gasolina,3898
RANGER,Motocicleta,Gasolina,3803
MITSUBISHI,Furgoneta P,Gasolina,3652
DAIHATSU,Camión,Diesel,3465
MERCEDES BENZ,Automóvil,Gasolina,3350
FORD,Furgoneta P,Gasolina,3169
CHEVROLET,Furgoneta C,Gasolina,2886
HINO,Autobus,Diesel,2835
FORD,Camión,Gasolina,2762
TEKNO,Motocicleta,Gasolina,2743
FORD,Camión,Diesel,2660
HONDA,Automóvil,Gasolina,2633
HYUNDAI,Camión,Diesel,2625
TOYOTA,Furgoneta P,Gasolina,2413
DAIHATSU,Jeep,Gasolina,2400
LADA,Jeep,Gasolina,2310
KIA,Furgoneta P,Gasolina,2281
TOYOTA,Camioneta,Diesel,2246
ORO MOTO,Motocicleta,Gasolina,2225
BMW,Automóvil,Gasolina,2223
JEEP,Jeep,Gasolina,2189
KIA,Furgoneta C,Diesel,2053
Otras Marcas,Automóvil,Gasolina,2032
HINO,Volqueta,Diesel,2002
JIALING,Motocicleta,Gasolina,1996
HONDA,Jeep,Gasolina,1989
HYUNDAI,Furgoneta C,Diesel,1986
HYUNDAI,Furgoneta P,Diesel,1661
LADA,Furgoneta P,Gasolina,1659
MERCEDES BENZ,Autobus,Diesel,1642
MERCEDES BENZ,Camión,Diesel,1639
QMC,Motocicleta,Gasolina,1600
TOYOTA,Camión,Diesel,1577
NISSAN,Furgoneta P,Gasolina,1515
KIA,Camión,Diesel,1480
FIAT,Camioneta,Gasolina,1421
LONCIN,Motocicleta,Gasolina,1405
CITROEN,Automóvil,Gasolina,1392
HYUNDAI,Jeep,Diesel,1328
HYUNDAI,Furgoneta C,Gasolina,1265
MAZDA,Furgoneta P,Gasolina,1260
DATSUN,Automóvil,Gasolina,1260
ISUZU,Camioneta,Gasolina,1236
HUSSAR,Motocicleta,Gasolina,1235
TOYOTA,Furgoneta C,Gasolina,1200
DAIHATSU,Automóvil,Gasolina,1188
VOLVO,Automóvil,Gasolina,1165
PEGASO,Motocicleta,Gasolina,1158
MAZDA,Camioneta,Diesel,1151
QINGQI,Motocicleta,Gasolina,1111
ISUZU,Camión,Diesel,1084
LAND ROVER,Jeep,Gasolina,1080
VOLKSWAGEN,Camioneta,Gasolina,1065
MERCEDES BENZ,Volqueta,Diesel,1058
CHEVROLET,Autobus,Diesel,1049
SKODA,Furgoneta P,Gasolina,1001
FORD,Volqueta,Diesel,940
NISSAN,Camión,Diesel,932
JIANSHE,Motocicleta,Gasolina,920
DAYTONA,Motocicleta,Gasolina,849
LINGKEN,Motocicleta,Gasolina,842
FORD,Furgoneta C,Gasolina,841
SUZUKI,Furgoneta P,Gasolina,838
MITSUBISHI,Camioneta,Diesel,794
MACK,Trailer,Diesel,793
INTERNATIONAL,Trailer,Diesel,790
HONDA,Furgoneta P,Gasolina,734
QMC,Camión,Diesel,707
MITSUBISHI,Furgoneta C,Gasolina,692
MACK,Volqueta,Diesel,692
DUCAR,Motocicleta,Gasolina,682
VOLKSWAGEN,Furgoneta C,Gasolina,679
KAWASAKI,Motocicleta,Gasolina,664
KENWORTH,Trailer,Diesel,652
DAIHATSU,Camioneta,Gasolina,652
YASAKI,Motocicleta,Gasolina,627
AUDI,Automóvil,Gasolina,621
GMC,Camioneta,Gasolina,619
DAYANG,Motocicleta,Gasolina,616
LIFAN,Motocicleta,Gasolina,607
TOYOTA,Furgoneta C,Diesel,598
AUSTIN,Automóvil,Gasolina,588
SKODA,Automóvil,Diesel,558
CHEVROLET,Camión,Gasolina,556
SKODA,Camioneta,Gasolina,555
NISSAN,Camioneta,Diesel,548
NISSAN,Volqueta,Diesel,545
NISSAN,Furgoneta C,Gasolina,542
FREIGHTLINER,Trailer,Diesel,530
MACK,Otra Clase,Diesel,520
JINCHENG,Motocicleta,Gasolina,519
JEEP,Furgoneta P,Gasolina,516
KIA,Jeep,Diesel,511
VOLKSWAGEN,Furgoneta P,Gasolina,509
Otras Marcas,Camioneta,Gasolina,491
HINO,Tanquero,Diesel,481
BAJAJ,Motocicleta,Gasolina,479
SUZUKI,Furgoneta C,Gasolina,476
KIA,Furgoneta P,Diesel,469
DODGE,Camioneta,Gasolina,469
INTERNATIONAL,Camión,Diesel,465
SAIC WULING,Furgoneta C,Gasolina,463
SUBARU,Automóvil,Gasolina,453
Otras Marcas,Trailer,Diesel,446
MAZDA,Furgoneta C,Gasolina,440
INTERNATIONAL,Volqueta,Diesel,436
CHEVROLET,Volqueta,Diesel,428
MICARGI,Motocicleta,Gasolina,427
Otras Marcas,Camión,Diesel,425
ZOTYE,Jeep,Gasolina,413
JIEDA,Motocicleta,Gasolina,408
KIA,Furgoneta C,Gasolina,405
HINO,Otra Clase,Diesel,405
FORD,Tanquero,Diesel,402
LONGJIA,Motocicleta,Gasolina,401
SAEHAN,Camioneta,Gasolina,401
MERCEDES BENZ,Trailer,Diesel,397
DAIHATSU,Furgoneta P,Gasolina,397
AMAZON,Motocicleta,Gasolina,377
VOLKSWAGEN,Autobus,Diesel,370
PEUGEOT,Furgoneta P,Gasolina,368
SANYA,Motocicleta,Gasolina,365
SINSKI,Motocicleta,Gasolina,348
SCANIA,Camión,Diesel,340
DAKAR,Motocicleta,Gasolina,335
GALARDI,Motocicleta,Gasolina,334
LAMBORBINI,Motocicleta,Gasolina,326
AXXO,Motocicleta,Gasolina,325
NISSAN,Furgoneta C,Diesel,325
FIAT,Furgoneta P,Gasolina,320
KOSHIN,Motocicleta,Gasolina,315
MERCEDES BENZ,Otra Clase,Diesel,315
KINGDOM,Motocicleta,Gasolina,314
JAC,Camión,Diesel,299
KINLON,Motocicleta,Gasolina,298
FORD,Camioneta,Diesel,295
GMC,Jeep,Gasolina,286
VESPA,Motocicleta,Gasolina,282
WILLYS,Jeep,Gasolina,279
SKYGO,Motocicleta,Gasolina,278
Otras Marcas,Autobus,Diesel,277
SUKIDA,Motocicleta,Gasolina,277
MITSUBISHI,Autobus,Diesel,270
BMA,Motocicleta,Gasolina,266
YAMOTO,Motocicleta,Gasolina,262
FORD,Volqueta,Gasolina,261
Otras Marcas,Furgoneta P,Gasolina,258
MITSUBISHI,Jeep,Diesel,257
KIA,Camioneta,Diesel,255
MACAT,Motocicleta,Gasolina,255
DAIHATSU,Camión,Gasolina,255
HYUNDAI,Autobus,Diesel,251
MITSUBISHI,Camión,Gasolina,247
MITSUBISHI,Furgoneta P,Diesel,240
OKAZAKI,Motocicleta,Gasolina,229
ASIA,Furgoneta C,Diesel,227
KTM,Motocicleta,Gasolina,224
MERCEDES BENZ,Jeep,Gasolina,221
FORD,Trailer,Diesel,218
CHEVROLET,Trailer,Diesel,216
KIA,Camioneta,Gasolina,212
DATSUN,Furgoneta P,Gasolina,211
FORD,Otra Clase,Diesel,209
Otras Marcas,Volqueta,Diesel,202
HINO,Camión,Gasolina,196
MAZDA,Jeep,Gasolina,196
CHANGHE,Furgoneta C,Gasolina,195
MERCEDES BENZ,Tanquero,Diesel,195
CHRYSLER,Automóvil,Gasolina,194
FORD,Otra Clase,Gasolina,191
ISUZU,Jeep,Gasolina,190
TATA,Automóvil,Gasolina,186
FORD,Autobus,Diesel,185
GREAT WALL,Camioneta,Gasolina,185
VOLVO,Volqueta,Diesel,185
NISSAN,Otra Clase,Diesel,183
TOYOTA,Camión,Gasolina,182
LML,Motocicleta,Gasolina,179
DAIHATSU,Camioneta,Diesel,173
CHEVROLET,Tanquero,Diesel,170
INTERNATIONAL,Otra Clase,Diesel,169
HINO,Trailer,Diesel,165
CHEVROLET,Otra Clase,Diesel,164
HYUNDAI,Camioneta,Gasolina,161
BMW,Motocicleta,Gasolina,161
CHANGAN,Camioneta,Gasolina,160
SSANGYONG,Jeep,Diesel,159
MERCEDES BENZ,Furgoneta C,Diesel,158
NIMBUS,Motocicleta,Gasolina,156
CHEVROLET,Automóvil,Diesel,154
ISUZU,Automóvil,Gasolina,153
ISUZU,Autobus,Diesel,152
PEUGEOT,Camioneta,Gasolina,150
BYD,Automóvil,Gasolina,150
SSANGYONG,Jeep,Gasolina,147
DACIA,Automóvil,Gasolina,146
HYUNDAI,Motocicleta,Gasolina,144
Otras Marcas,Otra Clase,Diesel,143
AUSTIN,Camioneta,Gasolina,141
DAEWOO,Furgoneta P,Gasolina,138
SRM,Motocicleta,Gasolina,137
ASIA,Furgoneta C,Gasolina,136
Otras Marcas,Furgoneta C,Gasolina,135
PORSCHE,Automóvil,Gasolina,135
JINBEI HAISE,Furgoneta C,Diesel,135
SSANGYONG,Camioneta,Diesel,135
GMC,Furgoneta P,Gasolina,134
INTERNATIONAL,Camioneta,Gasolina,134
NISSAN,Jeep,Diesel,132
DAEWOO,Furgoneta C,Gasolina,132
FAW,Camión,Diesel,132
HARLEY DAVIDSON,Motocicleta,Gasolina,131
NISSAN,Camión,Gasolina,130
SCANIA,Volqueta,Diesel,128
MITSUBISHI,Volqueta,Diesel,128
SUBARU,Furgoneta P,Gasolina,126
MACK,Camión,Diesel,125
DODGE,Furgoneta C,Gasolina,124
DODGE,Automóvil,Gasolina,124
LAND ROVER,Furgoneta P,Gasolina,123
CHEVROLET,Furgoneta P,Diesel,121
CHERY,Jeep,Gasolina,121
VOLKSWAGEN,Jeep,Gasolina,116
NISSAN,Autobus,Diesel,115
INTERNATIONAL,Tanquero,Diesel,114
VOLVO,Furgoneta P,Gasolina,114
CHANGHE,Camioneta,Gasolina,113
Otras Marcas,Jeep,Gasolina,113
ZX AUTO,Camioneta,Gasolina,109
BMW,Jeep,Gasolina,107
JMC,Camión,Diesel,105
THUNDER,Motocicleta,Gasolina,103
CHANGHE,Automóvil,Gasolina,102
CHEVROLET,Furgoneta C,Diesel,102
JEEP,Camioneta,Gasolina,101
TOYOTA,Autobus,Diesel,101
VOLKSWAGEN,Camión,Diesel,100
ISUZU,Furgoneta P,Gasolina,98
NISSAN,Furgoneta P,Diesel,98
MAN,Camión,Diesel,95
FORD,Tanquero,Gasolina,93
CHERY,Automóvil,Gasolina,93
DAIHATSU,Furgoneta C,Gasolina,92
BMW,Furgoneta P,Gasolina,92
VOLVO,Trailer,Diesel,91
DODGE,Camión,Diesel,91
GMC,Camión,Gasolina,90
QMC,Furgoneta P,Gasolina,89
ZOTYE,Furgoneta P,Gasolina,89
CHRYSLER,Furgoneta C,Gasolina,88
SSANGYONG,Furgoneta P,Diesel,88
SCANIA,Trailer,Diesel,87
VYCAST,Motocicleta,Gasolina,87
VOLVO,Camión,Diesel,84
CHEVROLET,Otra Clase,Gasolina,83
DACIA,Furgoneta P,Gasolina,78
HYUNDAI,Camión,Gasolina,78
SCANIA,Autobus,Diesel,77
DONGFENG,Camión,Diesel,75
NISSAN,Tanquero,Diesel,75
TOYOTA,Furgoneta P,Diesel,75
INTERNATIONAL,Volqueta,Gasolina,75
MITSUBISHI,Otra Clase,Diesel,75
HYUNDAI,Camioneta,Diesel,73
DAIHATSU,Furgoneta P,Diesel,73
MERCEDES BENZ,Furgoneta P,Gasolina,73
GMC,Furgoneta C,Gasolina,71
Otras Marcas,Tanquero,Diesel,70
DAIHATSU,Jeep,Diesel,70
GMC,Camión,Diesel,70
JMC,Camioneta,Diesel,70
CHANGAN,Furgoneta C,Gasolina,69
FIAT,Furgoneta C,Gasolina,69
MAZDA,Camión,Diesel,69
INTERNATIONAL,Jeep,Gasolina,67
DAYUN,Motocicleta,Gasolina,64
TOYOTA,Jeep,Diesel,63
RENAULT,Furgoneta P,Gasolina,63
FAW,Furgoneta C,Gasolina,63
ISUZU,Furgoneta C,Gasolina,61
FREIGHTLINER,Volqueta,Diesel,61
MAN,Volqueta,Diesel,61
SSANGYONG,Furgoneta P,Gasolina,60
PORSCHE,Jeep,Gasolina,59
LAND ROVER,Camioneta,Gasolina,59
Otras Marcas,Camión,Gasolina,58
DACIA,Camioneta,Gasolina,57
TATA,Camioneta,Diesel,57
Otras Marcas,Camioneta,Diesel,56
KIA,Camión,Gasolina,56
ZANYA,Motocicleta,Gasolina,55
DODGE,Jeep,Gasolina,55
FORD,Furgoneta C,Diesel,55
MAN,Trailer,Diesel,55
FORD,Autobus,Gasolina,55
DODGE,Camión,Gasolina,55
MITSUBISHI,Tanquero,Diesel,54
HYUNDAI,Otra Clase,Diesel,54
TOYOTA,Motocicleta,Gasolina,54
LAND ROVER,Jeep,Diesel,53
