marca,clase,servicio,cantidad
CHEVROLET,Automóvil,PARTICULAR,122016
CHEVROLET,Camioneta,PARTICULAR,77748
CHEVROLET,Jeep,PARTICULAR,53755
TOYOTA,Camioneta,PARTICULAR,42974
MAZDA,Camioneta,PARTICULAR,41998
VOLKSWAGEN,Automóvil,PARTICULAR,25275
NISSAN,Camioneta,PARTICULAR,23943
HYUNDAI,Automóvil,PARTICULAR,22208
SUZUKI,Motocicleta,PARTICULAR,20478
SUZUKI,Automóvil,PARTICULAR,20371
FORD,Camioneta,PARTICULAR,20250
TOYOTA,Automóvil,PARTICULAR,19087
CHEVROLET,Furgoneta P,PARTICULAR,16518
MAZDA,Automóvil,PARTICULAR,14387
NISSAN,Automóvil,PARTICULAR,14354
FIAT,Automóvil,PARTICULAR,12078
RENAULT,Automóvil,PARTICULAR,11102
HYUNDAI,Jeep,PARTICULAR,10964
CHEVROLET,Camión,PARTICULAR,10902
TOYOTA,Jeep,PARTICULAR,9985
HINO,Camión,PARTICULAR,9616
DAEWOO,Automóvil,PARTICULAR,7978
FORD,Jeep,PARTICULAR,7660
KIA,Automóvil,PARTICULAR,7646
MITSUBISHI,Jeep,PARTICULAR,7303
SHINERAY,Motocicleta,PARTICULAR,7153
PEUGEOT,Automóvil,PARTICULAR,7024
YAMAHA,Motocicleta,PARTICULAR,6844
FORD,Automóvil,PARTICULAR,6184
SKODA,Automóvil,PARTICULAR,5923
DATSUN,Camioneta,PARTICULAR,5723
MITSUBISHI,Camioneta,PARTICULAR,5721
LADA,Automóvil,PARTICULAR,5498
HYUNDAI,Furgoneta P,PARTICULAR,5466
MOTOR UNO,Motocicleta,PARTICULAR,5456
MITSUBISHI,Camión,PARTICULAR,5400
Otras Marcas,Motocicleta,PARTICULAR,5384
FORD,Camión,PARTICULAR,5200
KIA,Jeep,PARTICULAR,4781
TRAXX,Motocicleta,PARTICULAR,4439
HYUNDAI,Automóvil,ALQUILER,4370
MITSUBISHI,Automóvil,PARTICULAR,4251
NISSAN,Jeep,PARTICULAR,4127
SUZUKI,Jeep,PARTICULAR,3988
HONDA,Motocicleta,PARTICULAR,3927
RANGER,Motocicleta,PARTICULAR,3805
MITSUBISHI,Furgoneta P,PARTICULAR,3799
DAIHATSU,Camión,PARTICULAR,3519
MERCEDES BENZ,Automóvil,PARTICULAR,3376
CHEVROLET,Automóvil,ALQUILER,3303
FORD,Furgoneta P,PARTICULAR,3176
CHEVROLET,Furgoneta C,PARTICULAR,2963
TEKNO,Motocicleta,PARTICULAR,2744
HINO,Camión,ALQUILER,2741
KIA,Furgoneta P,PARTICULAR,2730
HONDA,Automóvil,PARTICULAR,2627
HINO,Autobus,ALQUILER,2617
HYUNDAI,Furgoneta C,PARTICULAR,2583
DAIHATSU,Jeep,PARTICULAR,2446
